"Settlement","Company","brand_in_sett","id","Address","gasoline_avg","diesel_avg","n_days","brand_cat","total_sett","n_competitors_other_brand","on_highway","lat","lon","dist_border_km","near_border_10km","near_border_20km","n_sett_stations","hhi_brand","share_small","share_premium","share_discount","area_ha","population","pop_density","brand_cat_discount","brand_cat_premium","log_n_sett","log_n_competitors_other_brand"
"Szombathely","Mol",3,"Szombathely | Mol | Szombathely, Zanati út II. 29.","Szombathely, Zanati út II. 29.",583.428571428571,590.142857142857,7,"premium",12,9,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,1,2.484906649788,2.19722568844671
"Szombathely","Omv",3,"Szombathely | Omv | Szombathely, Csabai út 15.","Szombathely, Csabai út 15.",582.9,591.042857142857,7,"premium",12,9,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,1,2.484906649788,2.19722568844671
"Szombathely","Omv",3,"Szombathely | Omv | Szombathely, Körmendi út 92.","Szombathely, Körmendi út 92.",582.9,591.042857142857,7,"premium",12,9,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,1,2.484906649788,2.19722568844671
"Szombathely","Omv",3,"Szombathely | Omv | Szombathely, Rumi út","Szombathely, Rumi út",582.9,591.042857142857,7,"premium",12,9,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,1,2.484906649788,2.19722568844671
"Szombathely","Orlen",1,"Szombathely | Orlen | Szombathely, Zanati út  56","Szombathely, Zanati út  56",580.142857142857,587.571428571429,7,"premium",12,11,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,1,2.484906649788,2.39789618188887
"Szombathely","Shell",4,"Szombathely | Shell | Szombathely, Dolgozók útja","Szombathely, Dolgozók útja",584.042857142857,590.471428571429,7,"premium",12,8,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,1,2.484906649788,2.07944279167905
"Szombathely","Shell",4,"Szombathely | Shell | Szombathely, Kiskar u. 6.","Szombathely, Kiskar u. 6.",584.042857142857,590.471428571429,7,"premium",12,8,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,1,2.484906649788,2.07944279167905
"Szombathely","Shell",4,"Szombathely | Shell | Szombathely, Kőszegi út","Szombathely, Kőszegi út",584.042857142857,590.471428571429,7,"premium",12,8,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,1,2.484906649788,2.07944279167905
"Szombathely","Shell",4,"Szombathely | Shell | Szombathely, Zanati út 70.","Szombathely, Zanati út 70.",584.042857142857,590.471428571429,7,"premium",12,8,0,47.2291184,16.6187625,12.7631561683322,0,1,12,0.25,0.0833333333333333,0.916666666666667,0,9870,76918,779.311043566363,0,1,2.484906649788,2.07944279167905
"Szántód","Orlen",1,"Szántód | Orlen | Szántód, 7-es főút","Szántód, 7-es főút",581.142857142857,587.571428571429,7,"premium",1,0,0,46.8693827,17.9045327,98.4993655045951,0,0,1,1,0,1,0,791,594,75.094816687737,0,1,0,-11.5129254649702
"Százhalombatta","Mol",2,"Százhalombatta | Mol | Százhalombatta, Bekötő út  ","Százhalombatta, Bekötő út  ",583.428571428571,590.142857142857,7,"premium",3,1,0,47.3171992,18.9120948,54.125810967153,0,0,3,0.555555555555555,0,1,0,2806,18115,645.580898075552,0,1,1.09861228866811,9.99995000039884e-06
"Százhalombatta","Mol",2,"Százhalombatta | Mol | Százhalombatta, DUFI Olajmunkás út 2.","Százhalombatta, DUFI Olajmunkás út 2.",583.428571428571,590.142857142857,7,"premium",3,1,0,47.3171992,18.9120948,54.125810967153,0,0,3,0.555555555555555,0,1,0,2806,18115,645.580898075552,0,1,1.09861228866811,9.99995000039884e-06
"Százhalombatta","Shell",1,"Százhalombatta | Shell | Százhalombatta, Damjanich u. 29.","Százhalombatta, Damjanich u. 29.",584.042857142857,590.471428571429,7,"premium",3,2,0,47.3171992,18.9120948,54.125810967153,0,0,3,0.555555555555555,0,1,0,2806,18115,645.580898075552,0,1,1.09861228866811,0.693152180547445
"Szécsény","Mol",1,"Szécsény | Mol | Szécsény, Salgótarjáni út","Szécsény, Salgótarjáni út",583.428571428571,590.142857142857,7,"premium",1,0,0,48.0802507,19.5206814,5.23041905631071,1,1,1,1,0,1,0,4567,5138,112.502737026494,0,1,0,-11.5129254649702
"Székely","Mol Partner+",1,"Székely | Mol Partner+ | Székely, Kapitány út 0156/20 hrsz.","Székely, Kapitány út 0156/20 hrsz.",584,583,7,"discount",1,0,0,48.0598465,21.936369,35.6394767758601,0,0,1,1,0,0,1,1607,1005,62.5388923459863,1,0,0,-11.5129254649702
"Székesfehérvár","Auchan",1,"Székesfehérvár | Auchan | Székesfehérvár, Holland fasor 2.","Székesfehérvár, Holland fasor 2.",568.714285714286,571,7,"discount",20,19,0,47.1910169,18.410811,64.7526998002344,0,0,20,0.17,0.1,0.75,0.15,17089,95241,557.323424425069,1,0,2.99573227355399,2.94443950548209
"Székesfehérvár","Mobil Petrol",1,"Székesfehérvár | Mobil Petrol | Székesfehérvár, Horvát István út","Székesfehérvár, Horvát István út",569.614285714286,572.042857142857,7,"discount",20,19,0,47.1910169,18.410811,64.7526998002344,0,0,20,0.17,0.1,0.75,0.15,17089,95241,557.323424425069,1,0,2.99573227355399,2.94443950548209
"Székesfehérvár","Mol",3,"Székesfehérvár | Mol | Székesfehérvár, Balatoni út","Székesfehérvár, Balatoni út",584.428571428571,590.142857142857,7,"premium",20,17,0,47.1910169,18.410811,64.7526998002344,0,0,20,0.17,0.1,0.75,0.15,17089,95241,557.323424425069,0,1,2.99573227355399,2.83321393229134
"Székesfehérvár","Mol",3,"Székesfehérvár | Mol | Székesfehérvár, Seregélyesi út 113.","Székesfehérvár, Seregélyesi út 113.",583.428571428571,590.142857142857,7,"premium",20,17,0,47.1910169,18.410811,64.7526998002344,0,0,20,0.17,0.1,0.75,0.15,17089,95241,557.323424425069,0,1,2.99573227355399,2.83321393229134
"Székesfehérvár","Mol",3,"Székesfehérvár | Mol | Székesfehérvár, Szent Flórián krt. 5.","Székesfehérvár, Szent Flórián krt. 5.",583.428571428571,590.142857142857,7,"premium",20,17,0,47.1910169,18.410811,64.7526998002344,0,0,20,0.17,0.1,0.75,0.15,17089,95241,557.323424425069,0,1,2.99573227355399,2.83321393229134
"Székesfehérvár","Oil!",1,"Székesfehérvár | Oil! | Székesfehérvár, Zámolyi út hrsz. 02022/6","Székesfehérvár, Zámolyi út hrsz. 02022/6",580.714285714286,584.571428571429,7,"discount",20,19,0,47.1910169,18.410811,64.7526998002344,0,0,20,0.17,0.1,0.75,0.15,17089,95241,557.323424425069,1,0,2.99573227355399,2.94443950548209
"Székesfehérvár","Omv",5,"Székesfehérvár | Omv | Székesfehérvár, Balatoni út 6111 hrsz","Székesfehérvár, Balatoni út 6111 hrsz",582.9,591.042857142857,7,"premium",20,15,0,47.1910169,18.410811,64.7526998002344,0,0,20,0.17,0.1,0.75,0.15,17089,95241,557.323424425069,0,1,2.99573227355399,2.70805086776865
"Székesfehérvár","Omv",5,"Székesfehérvár | Omv | Székesfehérvár, Budai út 169.","Székesfehérvár, Budai út 169.",582.9,591.042857142857,7,"premium",20,15,0,47.1910169,18.410811,64.7526998002344,0,0,20,0.17,0.1,0.75,0.15,17089,95241,557.323424425069,0,1,2.99573227355399,2.70805086776865
"Székesfehérvár","Omv",5,"Székesfehérvár | Omv | Székesfehérvár, Donáth út","Székesfehérvár, Donáth út",582.9,591.042857142857,7,"premium",20,15,0,47.1910169,18.410811,64.7526998002344,0,0,20,0.17,0.1,0.75,0.15,17089,95241,557.323424425069,0,1,2.99573227355399,2.70805086776865
"Székesfehérvár","Omv",5,"Székesfehérvár | Omv | Székesfehérvár, Kadocsa út 86.","Székesfehérvár, Kadocsa út 86.",582.9,591.042857142857,7,"premium",20,15,0,47.1910169,18.410811,64.7526998002344,0,0,20,0.17,0.1,0.75,0.15,17089,95241,557.323424425069,0,1,2.99573227355399,2.70805086776865
